"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"84","MR-Egger",0.521334700414987,0.374286915662378,-0.212254174167855,1.25492357499783,0.16365774484911,"PheWAS PVE Filtered",47
"85","MR-Egger",0.514422159382519,0.380174716575646,-0.23070659293847,1.25955091170351,0.176017173828185,"PheWAS PVE Filtered - Sensitivity",46
"86","MR-Egger",0.245879212524931,0.279717537217793,-0.302357086266185,0.794115511316046,0.379386743217992,"Core GI",31
"9","(intercept)",-0.0057406151183441,0.00347330450948556,-0.0125481668642764,0.00106693662758816,0.098375241957984,"all",75
"91","(intercept)",-0.0057406151183441,0.00347330450948556,-0.0125481668642764,0.00106693662758816,0.098375241957984,"Steiger Filtered",75
"92","(intercept)",-0.00321021341341152,0.00215389883901872,-0.00743177756423085,0.00101135073740781,0.136113897299411,"PheWAS T-test Filtered",59
"93","(intercept)",-0.00321021341341152,0.00215389883901872,-0.00743177756423085,0.00101135073740781,0.136113897299411,"PheWAS T-test Filtered - Sensitivity",59
"94","(intercept)",-0.00967767597440527,0.00585565235805639,-0.0211545437021828,0.00179919175337229,0.0983905670584164,"PheWAS PVE Filtered",47
"95","(intercept)",-0.00953759026285792,0.00596686725889283,-0.0212324351908191,0.00215725466510325,0.109948407182983,"PheWAS PVE Filtered - Sensitivity",46
"96","(intercept)",-0.00571503765529383,0.00417905379791004,-0.0139058325886528,0.00247575727806518,0.171455027346502,"Core GI",31
"10","Penalized MR-Egger",0.237785331413845,0.0903946520591758,0.060615068982831,0.414955593844859,0.00852532674206907,"all",75
"101","Penalized MR-Egger",0.237785331413845,0.0903946520591758,0.060615068982831,0.414955593844859,0.00852532674206907,"Steiger Filtered",75
"102","Penalized MR-Egger",-0.0158129798040528,0.0863639373374148,-0.18508318654846,0.153457226940354,0.854721891746296,"PheWAS T-test Filtered",59
"103","Penalized MR-Egger",-0.0158129798040528,0.0863639373374148,-0.18508318654846,0.153457226940354,0.854721891746296,"PheWAS T-test Filtered - Sensitivity",59
"104","Penalized MR-Egger",0.470733431100067,0.154578005879601,0.167766106774028,0.773700755426106,0.00232463172941544,"PheWAS PVE Filtered",47
"105","Penalized MR-Egger",0.45990384613114,0.155126007942181,0.155862457498992,0.763945234763288,0.00302966991498033,"PheWAS PVE Filtered - Sensitivity",46
"106","Penalized MR-Egger",0.23293713414621,0.188917640531996,-0.137334637340787,0.603208905633207,0.217572439733733,"Core GI",31
